Социологическа агенция,"Дати на
проучване","Брой
допитани","Граници
на грешка","ГЕРБ
СДС",БСП,ДПС,ОП,ВМРО,ДБ,"Воля
НФСБ",Атака,Възр.,АБВ,ИТН,ИСМВ,РЗБ,Други / Никого,Превес,Активност
Тренд,3 – 10 фев 2020,1007,"± 3,1%","20,3%","18,1%","6,7%",–,"2,6%",4%,"1,3%",1%,"1,1%",–,"7,1%",–,–,"4,1%","2,2%","66,3%"
Барометър,27 фев 2020,–,–,"35,2%",24%,"10,5%",–,9%,"3,1%","1,4%",–,–,–,"3,7%","1,6%",–,"11,5%","11,2%",100%
Медиана,21 – 28 фев 2020,1008,–,"21,7%",19%,"9,8%",–,"2,9%",2%,"2,8%","1,3%","1,1%",1%,"9,5%",–,–,"2,7%","2,7%","73,8%"
Алфа Рисърч,28 апр – 5 май 2020,1000,–,"20,8%","12,2%","6,4%","3,9%",–,"3,7%",1%,"0,9%",–,–,"9,1%",–,–,"4,2%","8,6%","62,2%"
Маркет Линкс,27 май – 3 юни 2020,483,–,28%,21%,8%,–,3%,7%,–,–,–,–,8%,–,–,7%,7%,82%
Барометър,20 – 25 юни 2020,828,–,"33,5%","18,2%",10%,9%,–,3%,"1,3%",–,–,–,"3,4%","1,5%",–,"9,4%","15,3%","89,3%"
Галъп,Юни 2020,–,"± 3,5%","22,1%","17,6%",6%,"2,9%",–,"2,4%","1,8%",–,–,–,"5,3%","1,8%",–,"16,2%","4,5%","76,1%"
Сова Харис,26 юни – 1 юли 2020,1000,–,"21,3%","12,2%","4,4%",–,"3,9%","2,4%","2,8%","0,7%","1,6%",1%,"5,2%","1,5%",–,0%,"9,1%",57%
Алфа Рисърч,23 – 30 юли 2020,1017,–,"14,5%","10,4%","4,5%","2,2%",–,"6,7%","0,5%",–,"0,3%",–,"10,2%","3,2%","0,4%","1,4%","4,1%","54,3%"
Алфа Рисърч,23 – 30 юли 2020,1017,–,"26,7%","19,2%","8,3%","4,1%",–,"12,3%","0,9%",–,"0,6%",–,"18,8%","5,9%","0,7%","2,6%","7,5%",100%
Галъп,Юли 2020,–,"± 3,5%","20,3%","19,1%","6,3%","3,3%",–,"2,4%","1,8%",–,–,–,"6,4%","1,3%",–,"13,3%","1,2%","74,2%"
Маркет Линкс,28 юли – 3 авг 2020,1093,–,"15,2%","13,5%","6,3%",3%,–,"6,6%",–,–,–,–,15%,"2,6%",–,"3,1%","0,2%","65,3%"
Маркет Линкс,28 юли – 3 авг 2020,573,–,"21,2%","19,9%","8,5%",4%,–,"10,3%",–,–,–,–,"11,1%",2%,–,"3,6%","1,3%","80,6%"
ЦАМ,1 – 5 авг 2020,1021,"± 3,1%","30,1%","19,7%","10,8%","4,3%",–,"10,1%","2,1%","1,2%",–,–,"13,9%",5%,"0,5%","2,2%","10,4%",100%
Галъп,30 юли–7 авг 2020,811,"± 3,5%","14,5%","13,9%","6,8%","2,3%",–,"5,7%","1,6%",–,–,–,"7,9%","2,4%",–,"17,5%","0,6%","72,6%"
Тренд,3 – 10 авг 2020,1010,"± 3,1%","24,8%","22,9%","9,8%","4,1%",–,"10,1%","1,2%","1,1%","0,8%","0,2%","14,9%","5,2%","0,8%","5,5%","1,9%",100%
Барометър,3 – 11 авг 2020,842,–,"24,9%","12,1%","7,8%","7,5%",–,"3,1%","1,1%",–,–,–,"3,4%","1,2%",–,"2,9%","12,8%",64%
Сова Харис,19 – 25 авг 2020,1000,"± 3,1%","17,8%","15,7%","5,9%",–,"2,4%","4,5%","2,3%","0,6%","0,4%","0,7%","10,1%","3,2%","0,3%","0,6%","2,1%","64,2%"
Тренд,29 авг–5 сеп 2020,1008,"± 3,1%","24,3%","23,4%","10,4%","3,9%",–,"9,9%","1,2%","1,1%","1,2%","0,2%","15,9%","4,5%","0,6%","4,4%","0,9%",100%
Галъп,3 – 11 сеп 2020,807,"± 3,5%","13,2%","13,5%","7,6%","2,7%",–,"5,2%","1,8%",–,–,–,"8,3%","2,2%",–,"14,3%","0,3%","70,6%"
Маркет Линкс,18 – 26 сеп 2020,1058,–,"15,8%","16,4%","7,5%","1,8%",–,"6,4%",–,–,–,–,"10,9%","2,7%",–,"2,7%","0,6%","64,2%"
Маркет Линкс,18 – 26 сеп 2020,544,–,"22,3%","22,2%","8,1%","2,2%",–,"9,6%",–,–,–,–,11%,"2,5%",–,"3,6%","0,1%","81,5%"
Алфа Рисърч,21 – 30 сеп 2020,1031,–,"20,5%","19,6%","9,9%","3,8%",–,"9,4%","0,3%",–,"0,8%",–,"14,9%","4,6%","0,2%","5,9%","0,9%","89,9%"
Галъп,1 – 9 окт 2020,803,"± 3,5%",13%,"13,5%","6,9%","2,3%",–,5%,"1,8%",–,–,–,"8,6%","2,5%",–,"14,6%","0,5%","68,2%"
Тренд,3 – 10 окт 2020,1008,"± 3,1%","24,4%","23,6%","10,2%","3,8%",–,"8,8%","1,6%","1,6%","0,9%","0,5%","15,9%","3,9%","0,8%","4,3%","0,8%",100%
Барометър,10 – 16 окт 2020,866,–,"20,9%","15,1%","7,9%","7,2%",–,3%,"0,7%",–,–,–,"3,9%","1,7%","0,9%","2,5%","5,8%","63,8%"
Спектър,12 – 16 окт 2020,1016,–,"22,9%","21,8%","10,4%","3,4%",–,"12,2%","0,8%",–,1%,–,"16,1%","3,5%","1,5%","6,4%","1,1%",53%
Институт „Рего“ Архив на оригинала от 2020-11-06 в Wayback Machine.,21 – 27 окт 2020,2000,–,"27,1%","26,3%","8,3%","2,8%",–,"7,6%","1,1%","0,8%",–,–,"18,6%","3,9%","0,8%","2,7%","0,8%","79,7%"
Сова Харис,27 окт – 3 ное 2020,1000,"± 3,1%","15,9%",15%,"5,2%",–,"2,8%",5%,"2,4%","0,6%",1%,1%,"6,8%","3,4%","0,3%","0,3%","0,9%","59,7%"
Барометър,6 – 11 ное 2020,882,–,"20,5%","13,2%","7,5%","7,3%",–,"3,1%","0,7%",–,–,–,"3,7%","1,6%","0,8%","2,7%","7,3%","61,1%"
Барометър,24 – 29 ное 2020,847,–,"20,1%","12,5%","7,9%","7,6%",–,"3,1%","0,7%",–,–,–,"3,7%","1,5%","0,8%","2,9%","7,6%",60%
Екзакта,5 – 12 дек 2020,1025,–,"18,6%","16,5%","5,4%","3,5%",–,"3,9%",–,–,–,–,9%,"2,4%","2,4%","2,8%","2,1%","64,5%"
Медиана,12 – 17 дек 2020,954,–,"18,5%","19,7%","8,3%","3,6%",–,"2,6%","1,2%",–,"1,7%","1,2%",13%,"3,7%",–,"3,1%","1,2%","76,6%"
Алфа Рисърч,15 – 21 дек 2020,504,–,"24,3%","21,9%","7,2%","2,7%",–,"6,1%",–,–,"0,5%",–,"10,2%","4,9%","0,6%","5,3%","2,4%","83,7%"
ЦАМ,10 – 13 яну 2021,600,–,"18,3%","14,8%","6,7%","2,3%",–,"4,6%","0,8%",1%,"0,4%",–,"7,5%","3,3%","0,5%","1,8%","3,5%",62%
Галъп,7 – 15 яну 2021,1010,"± 3,1%","22,9%","19,2%","10,9%","4,6%",–,"6,2%","2,1%",–,"1,4%",–,"12,4%","4,5%",–,"5,4%","3,7%","89,6%"
Тренд,12 – 19 яну 2021,1008,"± 3,1%","28,3%","24,9%","10,3%",4%,–,6%,"1,3%","0,7%","1,1%","0,5%","11,8%","4,1%","0,9%","6,8%","3,4%",100%
Маркет Линкс,23 – 31 яну 2021,1000,–,"17,3%","15,3%","7,6%","2,9%",–,"5,4%",–,–,–,–,"12,3%","4,5%",–,"2,6%",2%,"67,9%"
Маркет Линкс,23 – 31 яну 2021,500,–,"23,6%","17,3%","9,8%","2,8%",–,"8,8%",–,–,–,–,"12,8%","4,4%",–,"3,1%","6,3%","82,6%"
Сова Харис,26 – 31 яну 2021,1000,–,"17,2%","15,8%","5,9%",–,"2,8%","2,6%","2,9%","0,8%","0,7%","1,1%","9,8%",3%,1%,0%,"1,4%","63,6%"
Галъп,4 – 12 фев 2021,1011,"± 3,1%","25,8%","21,9%","12,4%",–,"4,2%","6,8%","2,7%",–,–,–,"13,1%","4,7%",–,"8,4%","3,9%",100%
Барометър,10 – 15 фев 2021,853,–,"31,5%","22,4%","7,8%",–,"7,1%","5,4%","2,4%","0,3%","0,7%","0,3%","6,8%","3,7%","1,7%","9,8%","9,1%",100%
АФИС Архив на оригинала от 2021-02-21 в Wayback Machine.,12 – 17 фев 2021,1000,–,"25,2%","22,5%","11,5%",–,"3,2%","5,6%",2%,"1,6%","2,2%","1,6%","14,2%","4,1%","1,4%","4,9%","2,7%",100%
Тренд,12 – 19 фев 2021,1008,"± 3,1%","28,9%","24,1%","11,1%",–,"3,8%","6,2%","2,6%",–,"1,1%",–,"12,9%",4%,–,"5,3%","4,8%",100%
Екзакта,15 – 22 фев 2021,1005,–,"26,4%","22,3%","8,5%",–,–,"5,1%",–,–,–,–,"13,5%",–,–,"24,2%","4,1%",100%
Маркет Линкс Архив на оригинала от 2021-03-29 в Wayback Machine.,17 – 24 фев 2021,1019,–,"17,5%","14,3%","6,7%",–,"2,1%","4,8%",–,–,–,–,"12,6%","3,5%",–,"4,6%","3,2%","66,1%"
Маркет Линкс Архив на оригинала от 2021-03-29 в Wayback Machine.,17 – 24 фев 2021,513,–,"24,6%","18,9%","8,5%",–,"2,7%","7,6%",–,–,–,–,13%,"3,9%",–,"5,8%","5,7%",85%
Медиана,22 – 26 фев 2021,943,–,"27,5%","24,2%","10,7%",–,4%,"4,2%","3,1%",–,–,"1,4%","15,2%",5%,–,"4,7%","3,3%",100%
Галъп,22 фев – 1 март 2021,1008,"± 3,1%","27,5%","23,3%","12,5%",–,"4,2%","6,5%","2,6%","0,6%","1,3%",1%,"13,2%","4,5%","0,8%",2%,"4,2%",100%
Алфа Рисърч,26 фев – 1 март 2021,1013,–,"28,5%","23,2%","12,5%",–,"3,7%","5,7%","1,8%","0,5%","0,7%","0,9%","13,3%","4,5%","0,9%","3,8%","5,3%",100%
Спектър,27 фев – 4 март 2021,–,–,"27,5%","22,1%","11,2%",–,"3,8%","5,5%",4%,–,"0,9%","1,1%","12,1%","3,8%","0,9%","7,1%","5,4%",100%
Болкан БГ Метрикс,1 – 5 март 2021,803,–,"23,5%","18,7%","9,1%",–,"2,1%","4,5%","12,3%",–,–,–,"6,7%","3,2%",–,–,"4,8%","80,1%"
Откриване на предизборната кампания – 5 март 2021 г.,Откриване на предизборната кампания – 5 март 2021 г.,Откриване на предизборната кампания – 5 март 2021 г.,Откриване на предизборната кампания – 5 март 2021 г.,Откриване на предизборната кампания – 5 март 2021 г.,Откриване на предизборната кампания – 5 март 2021 г.,Откриване на предизборната кампания – 5 март 2021 г.,Откриване на предизборната кампания – 5 март 2021 г.,Откриване на предизборната кампания – 5 март 2021 г.,Откриване на предизборната кампания – 5 март 2021 г.,Откриване на предизборната кампания – 5 март 2021 г.,Откриване на предизборната кампания – 5 март 2021 г.,Откриване на предизборната кампания – 5 март 2021 г.,Откриване на предизборната кампания – 5 март 2021 г.,Откриване на предизборната кампания – 5 март 2021 г.,Откриване на предизборната кампания – 5 март 2021 г.,Откриване на предизборната кампания – 5 март 2021 г.,Откриване на предизборната кампания – 5 март 2021 г.,Откриване на предизборната кампания – 5 март 2021 г.,Откриване на предизборната кампания – 5 март 2021 г.
Барометър,6 – 7 март 2021,1050,–,33%,20%,"9,5%",–,"9,7%","5,1%","1,1%","0,6%","0,9%",1%,"8,6%","2,1%","0,8%","4,3%",13%,"96,7%"
Тренд,9 – 14 март 2021,1004,"± 3,1%","28,8%","23,6%","12,1%",–,4%,"5,9%","2,5%","0,8%","1,1%","1,1%","12,7%","4,1%","0,8%","2,5%","5,2%",100%
Болкан БГ Метрикс,10 – 15 март 2021,807,–,"23,5%","18,7%","9,1%",–,"2,1%","4,5%","12,5%",–,–,–,"6,5%","3,2%",–,–,"4,8%","80,1%"
Сова Харис,11 – 16 март 2021,1000,"± 3,1%","21,3%","16,6%",8%,–,"3,3%","3,9%","1,6%","0,2%","0,5%","0,8%","8,2%","3,3%","1,2%","0,4%","4,7%","69,3%"
Спектър,12 – 18 март 2021,711,"± 3,1%","28,4%","22,5%",12%,–,4%,"5,4%","4,5%","0,8%","0,9%","1,1%","12,2%","3,8%","0,7%","3,7%","5,9%",100%
Медиана,16 – 23 март 2021,1004,–,27%,23%,"11,3%",–,"4,2%","4,7%",4%,–,"1,5%","1,6%","13,5%","6,7%",–,"2,5%",4%,100%
ЦАМ,19 – 23 март 2021,1000,–,"29,2%","20,5%","10,9%",–,"4,3%","5,7%","2,2%","1,1%","1,2%",1%,"11,2%","4,2%","1,5%","4,7%","8,7%","97,7%"
Маркет Линкс,18 – 25 март 2021,1026,–,"18,4%","15,7%","8,2%",–,"2,7%","5,1%",–,–,–,–,"11,7%",4%,–,"5,7%","2,7%","71,5%"
Маркет Линкс,18 – 25 март 2021,473,–,"22,8%",18%,9%,–,"3,3%","7,5%",–,–,–,–,"12,7%","4,5%",–,"10,3%","4,8%","88,1%"
Барометър,24 – 28 март 2021,888,–,32%,21%,"8,7%",–,"8,1%","5,8%","1,6%",–,–,1%,"8,4%","3,2%",–,10%,11%,"99,8%"
Институт „Рего“ Архив на оригинала от 2021-03-30 в Wayback Machine.,25 – 28 март 2021,1004,–,"25,5%","28,2%",9%,–,"3,1%","5,2%","1,5%",–,"1,6%",–,"15,7%","6,9%",–,"3,3%","2,7%",100%
Болкан БГ Метрикс,25 – 28 март 2021,803,–,"28,5%","21,7%",9%,–,"2,1%","4,3%","12,8%",–,–,–,"6,5%","3,2%",–,–,"6,8%","88,1%"
Екзакта,23 – 29 март 2021,1005,± 3%,"28,5%",20%,"12,4%",–,4.3%,"6,7%",–,–,–,–,13%,"4,3%",–,"10,8%","8,5%",100%
Спектър,24 – 30 март 2021,–,–,"29,3%","23,2%","12,4%",–,"4,2%","5,3%","4,7%","0,9%","0,8%",1%,11%,"3,8%","0,5%","2,9%","6,1%",100%
АФИС Архив на оригинала от 2021-04-01 в Wayback Machine.,26 – 30 март 2021,1000,–,"28,1%","20,2%","12,9%",–,"4,6%",6%,"2,8%",–,2%,"1,4%","14,3%","5,1%",–,"2,6%","7,4%",100%
Тренд,26 – 30 март 2021,1005,"± 3,1%","28,6%","21,8%","12,4%",–,"4,3%","5,9%","3,2%",–,"1,6%","1,1%","12,6%","4,8%","1,1%","2,6%","6,8%",100%
ЦАМ,27 – 30 март 2021,812,–,"28,6%","19,5%","13,2%",–,"4,3%","6,1%","2,5%","1,3%","1,7%","1,1%","12,5%","4,5%","0,8%","3,9%","9,1%",100%
Алфа Рисърч,27 – 30 март 2021,1007,–,"28,1%","19,8%","12,5%",–,4%,"6,3%","3,1%","1,2%","1,7%","0,9%","12,7%",6%,"0,8%","2,9%","8,3%",100%
Галъп,24 – 31 март 2021,1013,"± 3,1%","28,2%","20,8%","12,7%",–,"4,4%","6,1%",3%,"0,6%","1,6%","1,4%","12,9%","5,2%","1,3%","1,8%","7,4%",100%
Болкан БГ Метрикс,27 – 31 март 2021,843,–,"29,7%","19,8%","9,3%",–,"2,3%","4,3%","12,4%",–,–,–,"6,2%","3,1%",–,–,"9,9%","87,1%"
Закриване на предизборната кампания – 2 април 2021 г.,Закриване на предизборната кампания – 2 април 2021 г.,Закриване на предизборната кампания – 2 април 2021 г.,Закриване на предизборната кампания – 2 април 2021 г.,Закриване на предизборната кампания – 2 април 2021 г.,Закриване на предизборната кампания – 2 април 2021 г.,Закриване на предизборната кампания – 2 април 2021 г.,Закриване на предизборната кампания – 2 април 2021 г.,Закриване на предизборната кампания – 2 април 2021 г.,Закриване на предизборната кампания – 2 април 2021 г.,Закриване на предизборната кампания – 2 април 2021 г.,Закриване на предизборната кампания – 2 април 2021 г.,Закриване на предизборната кампания – 2 април 2021 г.,Закриване на предизборната кампания – 2 април 2021 г.,Закриване на предизборната кампания – 2 април 2021 г.,Закриване на предизборната кампания – 2 април 2021 г.,Закриване на предизборната кампания – 2 април 2021 г.,Закриване на предизборната кампания – 2 април 2021 г.,Закриване на предизборната кампания – 2 април 2021 г.,Закриване на предизборната кампания – 2 април 2021 г.
Парламент. избори 2021,4 април 2021,–,–,"25,8%","14,78%","10,36%",–,"3,58%","9,31%","2,34%","0,48%","2,41%","0,45%","17,4%","4,65%","1,29%","7,15%","8,4%","49,1%"
Социологическа агенция,"Дати на
проучване","Брой
допитани","Граници
на грешка","ГЕРБ
СДС",БСП,ДПС,ОП,ВМРО,ДБ,"Воля
НФСБ",Атака,Възр.,АБВ,ИТН,ИСМВ,РЗБ,Други / Никого,Превес,Активност
Социологическа агенция,"Дати на
проучване","Брой
допитани","Граници
на грешка",,,,,,,,,,,,,,Други / Никого,Превес,Активност
