Polling firm,Fieldwork date,Sample,PP,DB,"GERB–
SDS",DPS,BSP,ITN,Revival,IS.BG,VMRO,BV,Others,None of the above,Lead
Market Links,30 Jul – 5 Aug 2022,"1,020",26.2,26.2,22.6,12.4,11.6,3.2,8.9,—,—,3.3,11.8,—,3.6
Market Links,30 Jul – 5 Aug 2022,"1,020",20.9,9.1,24.5,12.6,11.9,3.1,9.2,—,—,4.3,4.8,—,3.6
Trend,5–12 Jul 2022,"1,005",21.4,6.9,23.6,10.7,9.8,3.8,9.6,1.6,1.1,5.7,2.8,3.0,2.2
Market Links,2–10 Jul 2022,"1,024",21.5,8.3,22.2,9.1,11.6,3.2,7.6,—,—,4.3,12.2,—,0.7
Alpha Research,25 Jun – 1 Jul 2022,"1,017",22.5,7.9,23.9,9.8,12.8,3.7,8.8,—,—,6.0,4.7,—,1.4
June–July 2022,June–July 2022,ITN pulls out of the Petkov cabinet and the government is defeated in a vote of no confidence,ITN pulls out of the Petkov cabinet and the government is defeated in a vote of no confidence,ITN pulls out of the Petkov cabinet and the government is defeated in a vote of no confidence,ITN pulls out of the Petkov cabinet and the government is defeated in a vote of no confidence,ITN pulls out of the Petkov cabinet and the government is defeated in a vote of no confidence,ITN pulls out of the Petkov cabinet and the government is defeated in a vote of no confidence,ITN pulls out of the Petkov cabinet and the government is defeated in a vote of no confidence,ITN pulls out of the Petkov cabinet and the government is defeated in a vote of no confidence,ITN pulls out of the Petkov cabinet and the government is defeated in a vote of no confidence,ITN pulls out of the Petkov cabinet and the government is defeated in a vote of no confidence,ITN pulls out of the Petkov cabinet and the government is defeated in a vote of no confidence,ITN pulls out of the Petkov cabinet and the government is defeated in a vote of no confidence,ITN pulls out of the Petkov cabinet and the government is defeated in a vote of no confidence,ITN pulls out of the Petkov cabinet and the government is defeated in a vote of no confidence
Trend,4–11 May 2022,"1,002",17.5,6.8,23.8,10.9,9.5,5.8,10.1,2.0,1.5,7.6,2.2,2.3,6.3
Centre for Analysis and Marketing,4–9 May 2022,821,21.4,6.0,23.3,11.6,11.8,5.1,8.7,1.2,1.0,7.8,2.1,–,1.9
Market Links,29 Apr – 8 May 2022,"1,015",19.1,8.3,25.9,10.5,12.5,6.5,9.7,–,–,–,7.2,–,6.8
Gallup,29 Apr – 6 May 2022,805,18.2,5.5,24.9,11.1,9.7,5.4,10.5,1.1,1.5,5.6,6.5,–,6.7
Alpha Research,8–14 Apr 2022,"1,037",21.1,7.7,24.8,8.7,11.7,5.1,10.8,–,–,–,10.2,–,3.7
Trend,6–13 Apr 2022,"1,004",20.1,7.1,23.6,11.1,10.5,6.9,9.3,1.9,1.3,–,5.5,2.7,3.5
Gallup,31 Mar – 8 Apr 2022,809,23.8,4.5,25.9,10.6,10.3,7.0,7.9,1.2,2.1,–,5.6,1.1,2.1
Market Links,22–29 Mar 2022,"1,029",19.7,7.6,22.1,8.2,11.6,6.7,8.2,–,–,–,15.9,–,2.4
Trend,5–12 Mar 2022,"1,007",22.9,7.4,21.9,11.4,10.4,7.5,7.3,2.1,1.3,–,5.0,2.8,1.0
Alpha Research,6–14 Feb 2022,"1,060",29.9,7.8,22.2,8.8,12.0,8.1,6.4,–,–,–,4.9,—,7.7
Gallup,3–11 Feb 2022,803,30.2,5.2,21.9,12.2,8.5,9.4,3.9,1.5,1.7,–,5.4,—,8.3
Trend,12–19 Jan 2022,"1,004",26.4,6.8,22.3,10.9,11.5,8.1,5.9,1.9,1.1,–,2.7,2.4,4.1
November 2021 election,14 November 2021,—,25.7,6.4,22.7,13.0,10.2,9.5,4.9,2.3,1.1,–,4.2,1.3,2.8
