Polling firm,Fieldwork date,Sample,GERB–SDS,PP–DB,Revival,DPS,BSPzB,ITN,BV,Left,SBG,SB,Others,NOTA,Lead,Govt.,Opp.
Alpha Research,27 Feb–3 Mar 2024,1000,"27.0
71","21.9
58","14.6
38","11.0
29","10.9
29","5.8
15",—,—,—,—,8.8,—,5.1,48.9,51.1
Market Links,24 Feb–3 Mar 2024,1058,"27.9
77","21.2
58","10.8
29","15.0
41","8.8
24","3.9
11",—,—,—,—,8.2,3.7,6.7,49.1,46.6
24 February 2024,24 February 2024,24 February 2024,Delyan Peevski and Dzhevdet Chakarov are elected as co-chairmen of DPS,Delyan Peevski and Dzhevdet Chakarov are elected as co-chairmen of DPS,Delyan Peevski and Dzhevdet Chakarov are elected as co-chairmen of DPS,Delyan Peevski and Dzhevdet Chakarov are elected as co-chairmen of DPS,Delyan Peevski and Dzhevdet Chakarov are elected as co-chairmen of DPS,Delyan Peevski and Dzhevdet Chakarov are elected as co-chairmen of DPS,Delyan Peevski and Dzhevdet Chakarov are elected as co-chairmen of DPS,Delyan Peevski and Dzhevdet Chakarov are elected as co-chairmen of DPS,Delyan Peevski and Dzhevdet Chakarov are elected as co-chairmen of DPS,Delyan Peevski and Dzhevdet Chakarov are elected as co-chairmen of DPS,Delyan Peevski and Dzhevdet Chakarov are elected as co-chairmen of DPS,Delyan Peevski and Dzhevdet Chakarov are elected as co-chairmen of DPS,Delyan Peevski and Dzhevdet Chakarov are elected as co-chairmen of DPS,Delyan Peevski and Dzhevdet Chakarov are elected as co-chairmen of DPS,Delyan Peevski and Dzhevdet Chakarov are elected as co-chairmen of DPS
Market Links,26 Jan–4 Feb 2024,1016,"27.7
76","20.0
55","11.5
31","14.1
39","9.9
27","4.4
12",—,—,—,—,7.7,4.7,7.7,47.7,47.6
Trend,17–24 Jan 2024,1016,"24.8
70","17.8
50","14.6
41","13.8
39","9.6
27","4.8
13","1.8
0","1.9
0",—,—,3.9,7.0,7.0,42.6,50.4
Mediana,7–13 Dec 2023,978,"22.9
68","15.6
46","13.5
40","12.2
36","11.3
33","5.9
17","1.5
0","3.5
0",—,—,3.6,10.0,7.3,38.5,51.5
Alpha Research,22–30 Nov 2023,1000,"25.9
68","21.1
55","14.4
38","12.8
34","11.4
30","5.8
15",—,—,—,—,8.6,—,4.8,47.0,53.0
Market Links,10–19 Nov 2023,1014,"26.3
71","20.1
54","12.8
35","14.4
39","10.5
29","4.5
12",—,—,—,—,7.0,4.2,6.2,46.4,49.4
Trend,11–18 Nov 2023,1006,"24.7
70","17.9
50","15.4
43","13.3
38","9.4
27","4.4
12","2.0
0","1.9
0",—,—,3.6,7.4,6.8,42.6,50.0
Market Links,26 Sept–8 Oct 2023,1032,"27.1
78","20.1
58","12.7
37","14.2
41","9.1
26","3.2
0",—,—,—,—,7.0,6.8,7.0,47.2,46.0
Trend,2–8 Sep 2023,1002,"24.9
70","18.3
51","16.1
45","13.4
38","8.7
24","4.2
12","2.1
0","1.9
0",—,—,3.9,6.5,6.6,43.2,50.3
Market Links,11–18 Aug 2023,1012,"26.2
70","21.7
58","12.8
34","15.1
41","8.3
22","5.4
15",—,—,—,—,7.2,3.0,4.5,47.9,48.8
Mediana,18–24 Jul 2023,976,"23.3
67","18.0
51","15.4
44","12.9
37","9.0
26","5.4
15","2.5
0","2.1
0",—,—,2.0,9.3,5.3,41.3,49.3
Trend,4–11 Jul 2023,1001,"24.8
70","19.1
54","15.5
43","13.7
38","8.6
24","4.0
11","1.8
0","1.9
0",—,—,4.3,6.3,5.7,43.9,49.8
Gallup International,29 Jun–9 Jul 2023,809,"26.4
69","21.8
57","14.9
39","14.5
38","9.7
26","4.3
11","2.0
0",—,—,—,6.4,—,4.6,48.2,51.8
CAM,3–7 Jul 2023,1021,"26.2
74","21.4
61","14.5
41","13.4
38","9.0
26","3.7
0","1.8
0","1.8
0",—,—,3.7,4.5,4.8,47.6,47.9
Market Links,22 Jun–2 Jul 2023,1011,"27.5
75","20.9
57","13.8
38","17.0
46","8.9
24","3.8
0",—,—,—,—,3.6,4.6,6.6,48.4,47.0
Alpha Research,20–26 Jun 2023,1000,"25.1
70","20.2
56","15.4
43","12.6
35","8.8
25","4.1
11",—,"2.7
0",—,—,7.5,3.6,4.9,45.3,51.1
Exacta,12–20 Jun 2023,1040,"24.4
67","20.1
56","14.8
41","13.2
37","9.5
26","4.8
13","1.9
0","1.8
0",—,—,3.6,5.9,4.3,44.5,49.6
Trend,10–16 Jun 2023,1008,"24.9
69","19.4
54","15.3
43","13.5
37","8.9
25","4.3
12","2.2
0","1.9
0",—,—,3.8,5.8,5.5,44.3,49.9
6 June 2023,6 June 2023,6 June 2023,The Denkov Government is sworn in,The Denkov Government is sworn in,The Denkov Government is sworn in,The Denkov Government is sworn in,The Denkov Government is sworn in,The Denkov Government is sworn in,The Denkov Government is sworn in,The Denkov Government is sworn in,The Denkov Government is sworn in,The Denkov Government is sworn in,The Denkov Government is sworn in,The Denkov Government is sworn in,The Denkov Government is sworn in,The Denkov Government is sworn in,The Denkov Government is sworn in
Gallup International,27 Apr–5 May 2023,803,"26.8
69","24.1
62","14.7
38","13.9
36","9.1
24","4.1
11","3.2
0","1.5
0",—,—,2.6,4.3,2.7,50.9,49.1
2023 election,2 April 2023,—,"26.5
69","24.6
64","14.2
37","13.8
36","8.9
23","4.1
11","3.1
0","2.2
0","2.2
0","0.55
0",2.6,,1.9,51.1,48.9%
